Family,Assessment,Housing,Health and Wellness,Food/Nutrition,Transportation,Employment,Financial Literacy,Family Safety,Heating,Family Relationships,Child Development/Parenting Skills,Family Literacy,School Readiness,Education/Training,Family Engagement,Child's Educational Transitions,Life Transitions,Family Relationships,Community Involvement,Leadership and Advocacy,TOTAL,Classroom,Year
2045's Family,1,3,3,3,2,2,2,3,4,3,2,3,3,3,3,3,2,3,2,2,51,ACAP Early Education Services - Gouldville Early Education Servi - EHS 1,2018-2019
2045's Family,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,54,ACAP Early Education Services - Gouldville Early Education Servi - EHS 1,2018-2019
1996's Family,1,4,5,4,4,2,4,5,3,4,5,5,5,3,4,5,5,4,4,3,78,ACAP Early Education Services - Gouldville Early Education Servi - EHS 1,2018-2019
1996's Family,2,4,5,5,5,3,5,5,3,4,5,5,5,4,3,5,5,4,3,2,80,ACAP Early Education Services - Gouldville Early Education Servi - EHS 1,2018-2019
1055's Family,1,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,75,ACAP Early Education Services - Gouldville Early Education Servi - EHS 1,2018-2019
1055's Family,2,3,3,3,4,4,3,4,3,4,4,3,3,4,3,3,4,4,3,3,65,ACAP Early Education Services - Gouldville Early Education Servi - EHS 1,2018-2019
2121's Family,1,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,57,ACAP Early Education Services - Gouldville Early Education Servi - EHS 1,2018-2019
2121's Family,2,4,4,4,2,3,3,3,4,4,4,4,3,3,3,3,3,4,3,3,64,ACAP Early Education Services - Gouldville Early Education Servi - EHS 1,2018-2019
1990's Family,1,4,4,5,4,3,4,5,5,4,4,5,3,3,3,3,3,3,2,2,69,ACAP Early Education Services - Gouldville Early Education Servi - EHS 1,2018-2019
1990's Family,2,4,3,2,1,2,3,2,3,3,3,2,2,1,2,1,3,2,2,1,42,ACAP Early Education Services - Gouldville Early Education Servi - EHS 1,2018-2019
1936's Family,1,3,3,2,2,2,3,4,2,3,3,2,3,2,2,2,3,3,2,2,48,ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,2018-2019
1936's Family,2,4,4,3,2,3,3,4,2,3,4,2,3,3,2,3,3,3,3,3,57,ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,2018-2019
1984's Family,1,4,4,3,3,4,3,5,3,4,3,4,4,3,4,2,3,3,2,2,63,ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,2018-2019
1984's Family,2,4,4,3,3,4,3,5,3,4,3,4,4,3,4,4,3,3,3,2,66,ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,2018-2019
1514's Family,1,3,4,5,2,1,3,4,3,4,5,3,5,3,4,5,4,4,4,3,69,ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,2018-2019
1514's Family,2,3,4,4,2,2,4,4,3,3,4,4,4,4,5,4,5,4,4,3,70,ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,2018-2019
1075's Family,1,2,3,3,1,2,2,4,3,2,3,3,3,2,2,3,3,3,2,2,48,ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,2018-2019
1075's Family,2,4,3,3,1,3,2,4,3,2,3,3,3,2,2,3,3,3,2,2,51,ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,2018-2019
1847's Family,1,3,3,3,4,4,4,4,3,4,4,3,4,3,4,3,4,3,3,2,65,ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,2018-2019
1847's Family,2,3,3,3,4,4,4,4,4,4,4,3,4,3,3,3,4,4,3,3,67,ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,2018-2019
2118's Family,1,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,5,5,4,3,88,ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,2018-2019
2118's Family,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,95,ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,2018-2019
1538's Family,1,4,4,5,5,4,4,5,3,4,5,3,4,4,3,4,5,4,4,3,77,ACAP Early Education Services - Houlton Early Education Services - EHS,2018-2019
1538's Family,2,4,5,5,5,4,4,4,3,3,5,3,3,3,5,5,3,3,4,5,76,ACAP Early Education Services - Houlton Early Education Services - EHS,2018-2019
2112's Family,1,4,3,4,5,4,4,5,3,4,4,4,4,3,3,3,3,4,4,3,71,ACAP Early Education Services - Houlton Early Education Services - EHS,2018-2019
2112's Family,2,3,4,4,4,4,3,4,3,4,4,3,4,4,4,3,3,4,3,3,68,ACAP Early Education Services - Houlton Early Education Services - EHS,2018-2019
